City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,Bria,6.5423,21.9863,77.05,25.0,57.0,3.38,CF,1735933288.0
265,Florø,61.5996,5.0328,30.16,86.0,100.0,11.5,NO,1735933289.0
266,Mogador,31.5125,-9.77,62.1,59.0,20.0,1.14,MA,1735933290.0
267,Reggane,26.7158,0.1714,57.87,41.0,0.0,9.64,DZ,1735933291.0
268,Kibre Mengist,5.8833,38.9833,55.42,47.0,29.0,2.04,ET,1735933292.0
269,Oil City,41.4339,-79.7064,27.07,87.0,100.0,1.01,US,1735933070.0
270,Dompu,-8.5356,118.4622,73.96,100.0,100.0,2.19,ID,1735933294.0
271,Guerrero Negro,27.9769,-114.0611,68.61,43.0,96.0,11.52,MX,1735933272.0
272,Kurlovo,55.4325,40.4854,19.78,97.0,14.0,1.79,RU,1735933296.0
273,Letlhakane,-21.4167,25.5833,71.28,86.0,100.0,13.91,BW,1735933298.0
274,Kailua-Kona,19.6406,-155.9956,79.56,74.0,0.0,9.22,US,1735933299.0
275,Haiku-Pauwela,20.9219,-156.3051,76.23,69.0,0.0,1.99,US,1735933130.0
276,,,,,,,,,
277,Prince Rupert,54.3161,-130.3201,37.09,65.0,94.0,18.41,CA,1735933302.0
278,Inírida,3.8653,-67.9239,88.41,57.0,99.0,0.51,CO,1735933303.0
279,Tinajo,29.0788,-13.7081,61.68,48.0,0.0,3.44,ES,1735933304.0
280,Sukhobezvodnoye,57.0491,44.8891,4.33,100.0,76.0,3.42,RU,1735933305.0
281,East London,-33.0153,27.9116,77.49,95.0,30.0,11.07,ZA,1735933306.0
282,Iskateley,67.6803,53.1512,12.69,96.0,100.0,6.49,RU,1735933307.0
283,,,,,,,,,
284,Bonthe,7.5264,-12.505,80.15,78.0,22.0,7.9,SL,1735933310.0
285,Katsuura,35.1333,140.3,44.15,85.0,99.0,17.83,JP,1735933311.0
286,Mukachevo,48.4419,22.7179,30.97,85.0,80.0,4.88,UA,1735933312.0
287,Ambodifotatra,-16.9833,49.85,81.1,70.0,23.0,8.23,MG,1735933313.0
288,Shingū,33.7333,135.9833,37.17,67.0,6.0,6.82,JP,1735933314.0
289,San Antonio de Palé,-1.4014,5.6325,81.19,80.0,98.0,5.5,GQ,1735933315.0
290,Corona de Tucson,31.9654,-110.7756,78.84,8.0,100.0,4.09,US,1735933316.0
291,Jayrūd,33.8074,36.7404,43.93,64.0,1.0,3.91,SY,1735933317.0
292,Mount Isa,-20.7333,139.5,83.97,39.0,70.0,9.22,AU,1735933319.0
